customer_id,customer_name,registration_date,customer_segment,total_orders,avg_order_value
97475543,Niharika Nagi,5/13/2023,Premium,13,451.92
22077605,Megha Sachar,6/18/2024,Inactive,4,825.48
47822591,Hema Bahri,9/25/2024,Regular,17,1969.81
79726146,Zaitra Vig,10/4/2023,New,4,220.09
57102800,Januja Verma,3/22/2024,Inactive,14,578.14
54748429,Darsh More,4/22/2024,New,2,669.35
49152878,Patrick Sandhu,9/13/2024,Premium,4,973.62
16379942,Harshil Kuruvilla,4/10/2024,Inactive,15,1370.56
11071601,Ojas Ahuja,7/4/2023,Inactive,17,1950.54
68164013,Netra Chander,6/29/2023,New,1,1061.82
80404839,Kashish Dora,4/13/2023,Inactive,10,1537.35
27038630,Megha Thakkar,4/27/2023,Regular,11,1307.28
1655637,Turvi Radhakrishnan,9/17/2023,Regular,19,723.95
75566105,Dipta Doctor,3/20/2024,Regular,18,1432.53
23961725,Zayyan Buch,5/11/2024,Regular,6,367.74
67749649,Oviya Mitra,4/10/2024,Inactive,11,281.16
61461253,Arin Setty,8/29/2024,Inactive,4,789.5
30619659,Lohit Kalla,9/18/2024,Inactive,14,1992.42
50229203,Rushil Dhingra,9/14/2023,Regular,7,1731.87
13567338,Wahab Borah,10/14/2024,Premium,10,1054.12
7591711,Triya Kakar,1/30/2024,Regular,12,1494
22102079,Vrinda Lalla,6/21/2024,Premium,10,615.86
48910430,Janani Prasad,9/4/2024,Premium,3,1474.04
27604184,Tripti Nadig,10/6/2023,New,9,1108.86
79672044,Jagdish Vora,12/17/2023,New,8,1115.88
13461704,Zayan Ratta,4/4/2024,Premium,4,1024.45
66135710,Zayan Thakkar,11/28/2023,New,6,308.63
50572914,Ishani Mukherjee,10/21/2023,Regular,20,701.55
4386273,Jagrati Sengupta,6/26/2024,Inactive,12,298.97
57537308,Ayush Buch,5/18/2024,New,8,1641.88
34526442,Harita Chatterjee,9/27/2023,Regular,14,1956.45
67383024,Riya Kothari,4/10/2024,Premium,14,1240.9
28350645,Alka Srinivasan,1/12/2024,Inactive,9,553
81940369,Nilima Chaudhuri,2/24/2024,Premium,10,316.79
89950235,Aarav Dayal,12/24/2023,Premium,13,1179.29
88202341,Jagrati Dubey,8/20/2023,Inactive,9,644.06
41155125,Yahvi Doshi,4/22/2024,Inactive,14,1454.3
46369552,Keya Modi,9/16/2024,Regular,17,456.51
48943848,Tarak Nair,6/21/2024,Premium,13,245.46
39645619,Indira Jaggi,6/17/2023,Regular,13,1512.4
76917159,Hiral Arya,6/23/2024,Premium,11,1777.83
72366758,Vedant Sengupta,11/19/2023,Inactive,9,513.7
66140659,Omya Iyengar,12/9/2023,Premium,8,509.85
87457446,Yashodhara Sarraf,7/2/2024,Premium,7,1301.39
10830043,Gabriel Iyer,10/15/2023,New,9,899.6
97150234,Ishaan Brahmbhatt,11/22/2023,New,13,1527.55
72489544,Sanaya Joshi,9/19/2024,Inactive,17,1600.17
81352781,Brinda Bassi,2/27/2024,Regular,4,564.55
88130777,Darsh Gupta,10/17/2023,New,16,301.23
65294340,Jasmit Kota,4/16/2024,New,17,356.29
40387944,Chavvi Gill,3/15/2024,Regular,10,569.91
91868185,Raghav Sathe,10/15/2023,New,1,1657.84
31846190,Charan Choudhary,9/8/2024,New,4,1176.18
15529446,Pallavi Goda,10/10/2023,Premium,9,854.35
20956158,Kashish Misra,3/10/2024,Premium,7,312.69
68159723,Yashvi Pathak,5/21/2024,New,6,1214.62
48554440,Rohan Ganesan,3/28/2024,Regular,17,1354.99
966247,Jeevika Deo,11/16/2023,Inactive,13,1110.76
40015980,Dipta Deshmukh,6/28/2023,New,18,1031.91
63262519,Benjamin Balakrishnan,2/21/2024,Regular,10,607.45
81763298,Laban Kumar,7/29/2023,Premium,1,1747.14
49985597,Neel Rastogi,8/6/2024,Regular,3,775.73
21282544,Warda Basak,8/28/2024,Regular,16,657.98
78868716,Sai Chhabra,12/10/2023,Inactive,5,1774.41
30733165,Gaurang Grewal,5/10/2024,Inactive,10,1609.11
78678612,Kritika Padmanabhan,6/20/2024,Premium,1,795.06
48511124,Girish Shankar,5/15/2023,Inactive,10,1076.14
26412689,Yadavi Rastogi,6/13/2024,Regular,1,1700.46
26303194,Janaki Parsa,4/29/2023,Premium,18,1045.94
93735495,Urvi Prasad,5/23/2023,Regular,7,871.15
8395610,Ranveer Subramanian,3/23/2024,Inactive,18,294.53
